"LocID","Time","AgeGrp"
4,1995,"0-4"
4,1995,"5-9"
4,1995,"10-14"
4,1995,"15-19"
4,1995,"20-24"
4,1995,"25-29"
4,1995,"30-34"
4,1995,"35-39"
4,1995,"40-44"
4,1995,"45-49"
4,1995,"50-54"
4,1995,"55-59"
4,1995,"60-64"
4,1995,"65-69"
4,1995,"70-74"
4,1995,"75-79"
4,1995,"80-84"
4,1995,"85-89"
4,1995,"90-94"
4,1995,"95-99"
4,1995,"100+"
903,1995,"0-4"
903,1995,"5-9"
903,1995,"10-14"
903,1995,"15-19"
903,1995,"20-24"
903,1995,"25-29"
903,1995,"30-34"
903,1995,"35-39"
903,1995,"40-44"
903,1995,"45-49"
903,1995,"50-54"
903,1995,"55-59"
903,1995,"60-64"
903,1995,"65-69"
903,1995,"70-74"
903,1995,"75-79"
903,1995,"80-84"
903,1995,"85-89"
903,1995,"90-94"
903,1995,"95-99"
903,1995,"100+"
8,1995,"0-4"
8,1995,"5-9"
8,1995,"10-14"
8,1995,"15-19"
8,1995,"20-24"
8,1995,"25-29"
8,1995,"30-34"
8,1995,"35-39"
8,1995,"40-44"
8,1995,"45-49"
8,1995,"50-54"
8,1995,"55-59"
8,1995,"60-64"
8,1995,"65-69"
8,1995,"70-74"
8,1995,"75-79"
8,1995,"80-84"
8,1995,"85-89"
8,1995,"90-94"
8,1995,"95-99"
8,1995,"100+"
12,1995,"0-4"
12,1995,"5-9"
12,1995,"10-14"
12,1995,"15-19"
12,1995,"20-24"
12,1995,"25-29"
12,1995,"30-34"
12,1995,"35-39"
12,1995,"40-44"
12,1995,"45-49"
12,1995,"50-54"
12,1995,"55-59"
12,1995,"60-64"
12,1995,"65-69"
12,1995,"70-74"
12,1995,"75-79"
12,1995,"80-84"
12,1995,"85-89"
12,1995,"90-94"
12,1995,"95-99"
12,1995,"100+"
24,1995,"0-4"
24,1995,"5-9"
24,1995,"10-14"
24,1995,"15-19"
24,1995,"20-24"
24,1995,"25-29"
24,1995,"30-34"
24,1995,"35-39"
24,1995,"40-44"
24,1995,"45-49"
24,1995,"50-54"
24,1995,"55-59"
24,1995,"60-64"
24,1995,"65-69"
24,1995,"70-74"
24,1995,"75-79"
24,1995,"80-84"
24,1995,"85-89"
24,1995,"90-94"
24,1995,"95-99"
24,1995,"100+"
32,1995,"0-4"
32,1995,"5-9"
32,1995,"10-14"
32,1995,"15-19"
32,1995,"20-24"
32,1995,"25-29"
32,1995,"30-34"
32,1995,"35-39"
32,1995,"40-44"
