"LocID","Time"
4,"2005-2010"
4,"2010-2015"
4,"2015-2020"
4,"2020-2025"
4,"2025-2030"
4,"2030-2035"
4,"2035-2040"
4,"2040-2045"
4,"2045-2050"
903,"2005-2010"
903,"2010-2015"
903,"2015-2020"
903,"2020-2025"
903,"2025-2030"
903,"2030-2035"
903,"2035-2040"
903,"2040-2045"
903,"2045-2050"
8,"2005-2010"
8,"2010-2015"
8,"2015-2020"
8,"2020-2025"
8,"2025-2030"
8,"2030-2035"
8,"2035-2040"
8,"2040-2045"
8,"2045-2050"
12,"2005-2010"
12,"2010-2015"
12,"2015-2020"
12,"2020-2025"
12,"2025-2030"
12,"2030-2035"
12,"2035-2040"
12,"2040-2045"
12,"2045-2050"
16,"2005-2010"
16,"2010-2015"
16,"2015-2020"
16,"2020-2025"
16,"2025-2030"
16,"2030-2035"
16,"2035-2040"
16,"2040-2045"
16,"2045-2050"
20,"2005-2010"
20,"2010-2015"
20,"2015-2020"
20,"2020-2025"
20,"2025-2030"
20,"2030-2035"
20,"2035-2040"
20,"2040-2045"
20,"2045-2050"
24,"2005-2010"
24,"2010-2015"
24,"2015-2020"
24,"2020-2025"
24,"2025-2030"
24,"2030-2035"
24,"2035-2040"
24,"2040-2045"
24,"2045-2050"
660,"2005-2010"
660,"2010-2015"
660,"2015-2020"
660,"2020-2025"
660,"2025-2030"
660,"2030-2035"
660,"2035-2040"
660,"2040-2045"
660,"2045-2050"
28,"2005-2010"
28,"2010-2015"
28,"2015-2020"
28,"2020-2025"
28,"2025-2030"
28,"2030-2035"
28,"2035-2040"
28,"2040-2045"
28,"2045-2050"
32,"2005-2010"
32,"2010-2015"
32,"2015-2020"
32,"2020-2025"
32,"2025-2030"
32,"2030-2035"
32,"2035-2040"
32,"2040-2045"
32,"2045-2050"
51,"2005-2010"
51,"2010-2015"
51,"2015-2020"
51,"2020-2025"
51,"2025-2030"
51,"2030-2035"
51,"2035-2040"
51,"2040-2045"
51,"2045-2050"
533,"2005-2010"
533,"2010-2015"
