"LocID","VarID","Time"
4,3,"2015-2020"
4,3,"2020-2025"
4,3,"2025-2030"
4,3,"2030-2035"
4,3,"2035-2040"
4,3,"2040-2045"
4,3,"2045-2050"
4,3,"2050-2055"
4,3,"2055-2060"
4,3,"2060-2065"
4,3,"2065-2070"
4,3,"2070-2075"
4,3,"2075-2080"
4,3,"2080-2085"
4,3,"2085-2090"
4,3,"2090-2095"
4,3,"2095-2100"
4,4,"2015-2020"
4,4,"2020-2025"
4,4,"2025-2030"
4,4,"2030-2035"
4,4,"2035-2040"
4,4,"2040-2045"
4,4,"2045-2050"
4,4,"2050-2055"
4,4,"2055-2060"
4,4,"2060-2065"
4,4,"2065-2070"
4,4,"2070-2075"
4,4,"2075-2080"
4,4,"2080-2085"
4,4,"2085-2090"
4,4,"2090-2095"
4,4,"2095-2100"
4,5,"2015-2020"
4,5,"2020-2025"
4,5,"2025-2030"
4,5,"2030-2035"
4,5,"2035-2040"
4,5,"2040-2045"
4,5,"2045-2050"
4,5,"2050-2055"
4,5,"2055-2060"
4,5,"2060-2065"
4,5,"2065-2070"
4,5,"2070-2075"
4,5,"2075-2080"
4,5,"2080-2085"
4,5,"2085-2090"
4,5,"2090-2095"
4,5,"2095-2100"
4,6,"2015-2020"
4,6,"2020-2025"
4,6,"2025-2030"
4,6,"2030-2035"
4,6,"2035-2040"
4,6,"2040-2045"
4,6,"2045-2050"
4,6,"2050-2055"
4,6,"2055-2060"
4,6,"2060-2065"
4,6,"2065-2070"
4,6,"2070-2075"
4,6,"2075-2080"
4,6,"2080-2085"
4,6,"2085-2090"
4,6,"2090-2095"
4,6,"2095-2100"
4,7,"2015-2020"
4,7,"2020-2025"
4,7,"2025-2030"
4,7,"2030-2035"
4,7,"2035-2040"
4,7,"2040-2045"
4,7,"2045-2050"
4,7,"2050-2055"
4,7,"2055-2060"
4,7,"2060-2065"
4,7,"2065-2070"
4,7,"2070-2075"
4,7,"2075-2080"
4,7,"2080-2085"
4,7,"2085-2090"
4,7,"2090-2095"
4,7,"2095-2100"
4,8,"2015-2020"
4,8,"2020-2025"
4,8,"2025-2030"
4,8,"2030-2035"
4,8,"2035-2040"
4,8,"2040-2045"
4,8,"2045-2050"
4,8,"2050-2055"
4,8,"2055-2060"
4,8,"2060-2065"
4,8,"2065-2070"
4,8,"2070-2075"
4,8,"2075-2080"
4,8,"2080-2085"
4,8,"2085-2090"
4,8,"2090-2095"
4,8,"2095-2100"
4,9,"2015-2020"
4,9,"2020-2025"
4,9,"2025-2030"
4,9,"2030-2035"
4,9,"2035-2040"
4,9,"2040-2045"
4,9,"2045-2050"
4,9,"2050-2055"
4,9,"2055-2060"
4,9,"2060-2065"
4,9,"2065-2070"
4,9,"2070-2075"
4,9,"2075-2080"
4,9,"2080-2085"
4,9,"2085-2090"
4,9,"2090-2095"
4,9,"2095-2100"
4,10,"2015-2020"
4,10,"2020-2025"
4,10,"2025-2030"
4,10,"2030-2035"
4,10,"2035-2040"
4,10,"2040-2045"
4,10,"2045-2050"
4,10,"2050-2055"
4,10,"2055-2060"
4,10,"2060-2065"
4,10,"2065-2070"
4,10,"2070-2075"
4,10,"2075-2080"
4,10,"2080-2085"
4,10,"2085-2090"
4,10,"2090-2095"
4,10,"2095-2100"
4,202,"2015-2020"
4,202,"2020-2025"
4,202,"2025-2030"
4,202,"2030-2035"
4,202,"2035-2040"
4,202,"2040-2045"
4,202,"2045-2050"
4,202,"2050-2055"
4,202,"2055-2060"
4,202,"2060-2065"
4,202,"2065-2070"
4,202,"2070-2075"
4,202,"2075-2080"
4,202,"2080-2085"
4,202,"2085-2090"
4,202,"2090-2095"
4,202,"2095-2100"
4,203,"2015-2020"
4,203,"2020-2025"
4,203,"2025-2030"
4,203,"2030-2035"
4,203,"2035-2040"
4,203,"2040-2045"
4,203,"2045-2050"
4,203,"2050-2055"
4,203,"2055-2060"
4,203,"2060-2065"
4,203,"2065-2070"
4,203,"2070-2075"
4,203,"2075-2080"
4,203,"2080-2085"
4,203,"2085-2090"
4,203,"2090-2095"
4,203,"2095-2100"
4,204,"2015-2020"
4,204,"2020-2025"
4,204,"2025-2030"
4,204,"2030-2035"
4,204,"2035-2040"
4,204,"2040-2045"
4,204,"2045-2050"
4,204,"2050-2055"
4,204,"2055-2060"
4,204,"2060-2065"
4,204,"2065-2070"
4,204,"2070-2075"
4,204,"2075-2080"
4,204,"2080-2085"
4,204,"2085-2090"
4,204,"2090-2095"
4,204,"2095-2100"
4,206,"2015-2020"
4,206,"2020-2025"
4,206,"2025-2030"
4,206,"2030-2035"
4,206,"2035-2040"
4,206,"2040-2045"
4,206,"2045-2050"
4,206,"2050-2055"
4,206,"2055-2060"
4,206,"2060-2065"
4,206,"2065-2070"
4,206,"2070-2075"
4,206,"2075-2080"
4,206,"2080-2085"
4,206,"2085-2090"
4,206,"2090-2095"
4,206,"2095-2100"
4,207,"2015-2020"
4,207,"2020-2025"
4,207,"2025-2030"
4,207,"2030-2035"
4,207,"2035-2040"
4,207,"2040-2045"
4,207,"2045-2050"
4,207,"2050-2055"
4,207,"2055-2060"
4,207,"2060-2065"
4,207,"2065-2070"
4,207,"2070-2075"
4,207,"2075-2080"
4,207,"2080-2085"
4,207,"2085-2090"
4,207,"2090-2095"
4,207,"2095-2100"
903,3,"2015-2020"
903,3,"2020-2025"
903,3,"2025-2030"
903,3,"2030-2035"
903,3,"2035-2040"
903,3,"2040-2045"
903,3,"2045-2050"
903,3,"2050-2055"
903,3,"2055-2060"
903,3,"2060-2065"
903,3,"2065-2070"
903,3,"2070-2075"
903,3,"2075-2080"
903,3,"2080-2085"
903,3,"2085-2090"
903,3,"2090-2095"
903,3,"2095-2100"
903,4,"2015-2020"
903,4,"2020-2025"
903,4,"2025-2030"
903,4,"2030-2035"
903,4,"2035-2040"
903,4,"2040-2045"
903,4,"2045-2050"
903,4,"2050-2055"
903,4,"2055-2060"
903,4,"2060-2065"
903,4,"2065-2070"
903,4,"2070-2075"
903,4,"2075-2080"
903,4,"2080-2085"
903,4,"2085-2090"
903,4,"2090-2095"
903,4,"2095-2100"
903,5,"2015-2020"
903,5,"2020-2025"
903,5,"2025-2030"
903,5,"2030-2035"
903,5,"2035-2040"
903,5,"2040-2045"
903,5,"2045-2050"
903,5,"2050-2055"
903,5,"2055-2060"
903,5,"2060-2065"
903,5,"2065-2070"
903,5,"2070-2075"
903,5,"2075-2080"
903,5,"2080-2085"
903,5,"2085-2090"
903,5,"2090-2095"
903,5,"2095-2100"
903,6,"2015-2020"
903,6,"2020-2025"
903,6,"2025-2030"
903,6,"2030-2035"
903,6,"2035-2040"
903,6,"2040-2045"
903,6,"2045-2050"
903,6,"2050-2055"
903,6,"2055-2060"
903,6,"2060-2065"
903,6,"2065-2070"
903,6,"2070-2075"
903,6,"2075-2080"
903,6,"2080-2085"
903,6,"2085-2090"
903,6,"2090-2095"
903,6,"2095-2100"
903,7,"2015-2020"
903,7,"2020-2025"
903,7,"2025-2030"
903,7,"2030-2035"
903,7,"2035-2040"
903,7,"2040-2045"
903,7,"2045-2050"
903,7,"2050-2055"
903,7,"2055-2060"
903,7,"2060-2065"
903,7,"2065-2070"
903,7,"2070-2075"
903,7,"2075-2080"
903,7,"2080-2085"
903,7,"2085-2090"
903,7,"2090-2095"
903,7,"2095-2100"
903,8,"2015-2020"
903,8,"2020-2025"
903,8,"2025-2030"
903,8,"2030-2035"
903,8,"2035-2040"
903,8,"2040-2045"
903,8,"2045-2050"
903,8,"2050-2055"
903,8,"2055-2060"
903,8,"2060-2065"
903,8,"2065-2070"
903,8,"2070-2075"
903,8,"2075-2080"
903,8,"2080-2085"
903,8,"2085-2090"
903,8,"2090-2095"
903,8,"2095-2100"
903,9,"2015-2020"
903,9,"2020-2025"
903,9,"2025-2030"
903,9,"2030-2035"
903,9,"2035-2040"
903,9,"2040-2045"
903,9,"2045-2050"
903,9,"2050-2055"
903,9,"2055-2060"
903,9,"2060-2065"
903,9,"2065-2070"
903,9,"2070-2075"
903,9,"2075-2080"
903,9,"2080-2085"
903,9,"2085-2090"
903,9,"2090-2095"
903,9,"2095-2100"
903,10,"2015-2020"
903,10,"2020-2025"
903,10,"2025-2030"
903,10,"2030-2035"
903,10,"2035-2040"
903,10,"2040-2045"
903,10,"2045-2050"
903,10,"2050-2055"
903,10,"2055-2060"
903,10,"2060-2065"
903,10,"2065-2070"
903,10,"2070-2075"
903,10,"2075-2080"
903,10,"2080-2085"
903,10,"2085-2090"
903,10,"2090-2095"
903,10,"2095-2100"
8,3,"2015-2020"
8,3,"2020-2025"
8,3,"2025-2030"
8,3,"2030-2035"
8,3,"2035-2040"
8,3,"2040-2045"
8,3,"2045-2050"
8,3,"2050-2055"
8,3,"2055-2060"
8,3,"2060-2065"
8,3,"2065-2070"
8,3,"2070-2075"
8,3,"2075-2080"
8,3,"2080-2085"
8,3,"2085-2090"
8,3,"2090-2095"
8,3,"2095-2100"
8,4,"2015-2020"
8,4,"2020-2025"
8,4,"2025-2030"
8,4,"2030-2035"
8,4,"2035-2040"
8,4,"2040-2045"
8,4,"2045-2050"
