"LocID","Time"
4,"1950-1955"
4,"1955-1960"
4,"1960-1965"
4,"1965-1970"
4,"1970-1975"
4,"1975-1980"
4,"1980-1985"
4,"1985-1990"
4,"1990-1995"
4,"1995-2000"
4,"2000-2005"
4,"2005-2010"
4,"2010-2015"
4,"2015-2020"
4,"2020-2025"
4,"2025-2030"
4,"2030-2035"
4,"2035-2040"
4,"2040-2045"
4,"2045-2050"
4,"2050-2055"
4,"2055-2060"
4,"2060-2065"
4,"2065-2070"
4,"2070-2075"
4,"2075-2080"
4,"2080-2085"
4,"2085-2090"
4,"2090-2095"
4,"2095-2100"
903,"1950-1955"
903,"1955-1960"
903,"1960-1965"
903,"1965-1970"
903,"1970-1975"
903,"1975-1980"
903,"1980-1985"
903,"1985-1990"
903,"1990-1995"
903,"1995-2000"
903,"2000-2005"
903,"2005-2010"
903,"2010-2015"
903,"2015-2020"
903,"2020-2025"
903,"2025-2030"
903,"2030-2035"
903,"2035-2040"
903,"2040-2045"
903,"2045-2050"
903,"2050-2055"
903,"2055-2060"
903,"2060-2065"
903,"2065-2070"
903,"2070-2075"
903,"2075-2080"
903,"2080-2085"
903,"2085-2090"
903,"2090-2095"
903,"2095-2100"
1823,"1950-1955"
1823,"1955-1960"
1823,"1960-1965"
1823,"1965-1970"
1823,"1970-1975"
1823,"1975-1980"
1823,"1980-1985"
1823,"1985-1990"
1823,"1990-1995"
1823,"1995-2000"
1823,"2000-2005"
1823,"2005-2010"
1823,"2010-2015"
1823,"2015-2020"
1823,"2020-2025"
1823,"2025-2030"
1823,"2030-2035"
1823,"2035-2040"
1823,"2040-2045"
1823,"2045-2050"
1823,"2050-2055"
1823,"2055-2060"
1823,"2060-2065"
1823,"2065-2070"
1823,"2070-2075"
1823,"2075-2080"
1823,"2080-2085"
1823,"2085-2090"
1823,"2090-2095"
1823,"2095-2100"
1560,"1950-1955"
1560,"1955-1960"
1560,"1960-1965"
1560,"1965-1970"
1560,"1970-1975"
1560,"1975-1980"
1560,"1980-1985"
1560,"1985-1990"
1560,"1990-1995"
1560,"1995-2000"
1560,"2000-2005"
1560,"2005-2010"
1560,"2010-2015"
1560,"2015-2020"
1560,"2020-2025"
1560,"2025-2030"
1560,"2030-2035"
1560,"2035-2040"
1560,"2040-2045"
1560,"2045-2050"
1560,"2050-2055"
1560,"2055-2060"
1560,"2060-2065"
1560,"2065-2070"
1560,"2070-2075"
1560,"2075-2080"
1560,"2080-2085"
1560,"2085-2090"
1560,"2090-2095"
1560,"2095-2100"
2080,"1950-1955"
2080,"1955-1960"
2080,"1960-1965"
2080,"1965-1970"
2080,"1970-1975"
2080,"1975-1980"
2080,"1980-1985"
2080,"1985-1990"
2080,"1990-1995"
2080,"1995-2000"
2080,"2000-2005"
2080,"2005-2010"
2080,"2010-2015"
2080,"2015-2020"
2080,"2020-2025"
2080,"2025-2030"
2080,"2030-2035"
2080,"2035-2040"
2080,"2040-2045"
2080,"2045-2050"
2080,"2050-2055"
2080,"2055-2060"
2080,"2060-2065"
2080,"2065-2070"
2080,"2070-2075"
2080,"2075-2080"
2080,"2080-2085"
2080,"2085-2090"
2080,"2090-2095"
2080,"2095-2100"
2081,"1950-1955"
2081,"1955-1960"
2081,"1960-1965"
2081,"1965-1970"
2081,"1970-1975"
2081,"1975-1980"
2081,"1980-1985"
2081,"1985-1990"
2081,"1990-1995"
2081,"1995-2000"
2081,"2000-2005"
2081,"2005-2010"
2081,"2010-2015"
2081,"2015-2020"
2081,"2020-2025"
2081,"2025-2030"
2081,"2030-2035"
2081,"2035-2040"
2081,"2040-2045"
2081,"2045-2050"
2081,"2050-2055"
2081,"2055-2060"
2081,"2060-2065"
2081,"2065-2070"
2081,"2070-2075"
2081,"2075-2080"
2081,"2080-2085"
2081,"2085-2090"
2081,"2090-2095"
2081,"2095-2100"
2082,"1950-1955"
2082,"1955-1960"
2082,"1960-1965"
2082,"1965-1970"
2082,"1970-1975"
2082,"1975-1980"
2082,"1980-1985"
2082,"1985-1990"
2082,"1990-1995"
2082,"1995-2000"
2082,"2000-2005"
2082,"2005-2010"
2082,"2010-2015"
2082,"2015-2020"
2082,"2020-2025"
2082,"2025-2030"
2082,"2030-2035"
2082,"2035-2040"
2082,"2040-2045"
2082,"2045-2050"
2082,"2050-2055"
2082,"2055-2060"
2082,"2060-2065"
2082,"2065-2070"
2082,"2070-2075"
2082,"2075-2080"
2082,"2080-2085"
2082,"2085-2090"
2082,"2090-2095"
2082,"2095-2100"
2083,"1950-1955"
2083,"1955-1960"
2083,"1960-1965"
2083,"1965-1970"
2083,"1970-1975"
2083,"1975-1980"
2083,"1980-1985"
2083,"1985-1990"
2083,"1990-1995"
2083,"1995-2000"
2083,"2000-2005"
2083,"2005-2010"
2083,"2010-2015"
2083,"2015-2020"
2083,"2020-2025"
2083,"2025-2030"
2083,"2030-2035"
2083,"2035-2040"
2083,"2040-2045"
2083,"2045-2050"
2083,"2050-2055"
2083,"2055-2060"
2083,"2060-2065"
2083,"2065-2070"
2083,"2070-2075"
2083,"2075-2080"
2083,"2080-2085"
2083,"2085-2090"
2083,"2090-2095"
2083,"2095-2100"
2084,"1950-1955"
2084,"1955-1960"
2084,"1960-1965"
2084,"1965-1970"
2084,"1970-1975"
2084,"1975-1980"
2084,"1980-1985"
2084,"1985-1990"
2084,"1990-1995"
2084,"1995-2000"
2084,"2000-2005"
2084,"2005-2010"
2084,"2010-2015"
2084,"2015-2020"
2084,"2020-2025"
2084,"2025-2030"
2084,"2030-2035"
2084,"2035-2040"
2084,"2040-2045"
2084,"2045-2050"
2084,"2050-2055"
2084,"2055-2060"
2084,"2060-2065"
2084,"2065-2070"
2084,"2070-2075"
2084,"2075-2080"
2084,"2080-2085"
2084,"2085-2090"
2084,"2090-2095"
2084,"2095-2100"
1200,"1950-1955"
1200,"1955-1960"
1200,"1960-1965"
1200,"1965-1970"
1200,"1970-1975"
1200,"1975-1980"
1200,"1980-1985"
1200,"1985-1990"
1200,"1990-1995"
1200,"1995-2000"
1200,"2000-2005"
1200,"2005-2010"
1200,"2010-2015"
1200,"2015-2020"
1200,"2020-2025"
1200,"2025-2030"
1200,"2030-2035"
1200,"2035-2040"
1200,"2040-2045"
1200,"2045-2050"
1200,"2050-2055"
1200,"2055-2060"
1200,"2060-2065"
1200,"2065-2070"
1200,"2070-2075"
1200,"2075-2080"
1200,"2080-2085"
1200,"2085-2090"
1200,"2090-2095"
1200,"2095-2100"
8,"1950-1955"
8,"1955-1960"
8,"1960-1965"
8,"1965-1970"
8,"1970-1975"
8,"1975-1980"
8,"1980-1985"
8,"1985-1990"
8,"1990-1995"
8,"1995-2000"
8,"2000-2005"
8,"2005-2010"
8,"2010-2015"
8,"2015-2020"
8,"2020-2025"
8,"2025-2030"
8,"2030-2035"
8,"2035-2040"
8,"2040-2045"
8,"2045-2050"
8,"2050-2055"
8,"2055-2060"
8,"2060-2065"
8,"2065-2070"
8,"2070-2075"
8,"2075-2080"
8,"2080-2085"
8,"2085-2090"
8,"2090-2095"
8,"2095-2100"
12,"1950-1955"
12,"1955-1960"
12,"1960-1965"
12,"1965-1970"
12,"1970-1975"
12,"1975-1980"
12,"1980-1985"
12,"1985-1990"
12,"1990-1995"
12,"1995-2000"
12,"2000-2005"
12,"2005-2010"
12,"2010-2015"
12,"2015-2020"
12,"2020-2025"
12,"2025-2030"
12,"2030-2035"
12,"2035-2040"
12,"2040-2045"
12,"2045-2050"
12,"2050-2055"
12,"2055-2060"
12,"2060-2065"
12,"2065-2070"
12,"2070-2075"
12,"2075-2080"
12,"2080-2085"
12,"2085-2090"
12,"2090-2095"
12,"2095-2100"
16,"1950-1955"
16,"1955-1960"
16,"1960-1965"
16,"1965-1970"
16,"1970-1975"
16,"1975-1980"
16,"1980-1985"
16,"1985-1990"
16,"1990-1995"
16,"1995-2000"
16,"2000-2005"
16,"2005-2010"
16,"2010-2015"
16,"2015-2020"
16,"2020-2025"
16,"2025-2030"
16,"2030-2035"
16,"2035-2040"
16,"2040-2045"
16,"2045-2050"
16,"2050-2055"
16,"2055-2060"
16,"2060-2065"
16,"2065-2070"
16,"2070-2075"
16,"2075-2080"
16,"2080-2085"
16,"2085-2090"
16,"2090-2095"
16,"2095-2100"
1533,"1950-1955"
1533,"1955-1960"
1533,"1960-1965"
1533,"1965-1970"
1533,"1970-1975"
1533,"1975-1980"
1533,"1980-1985"
1533,"1985-1990"
1533,"1990-1995"
