wpp,file,AgeGrp,AgeGrpStart,AgeGrpSpan
1998,Fertility_by_Age,15-19,15,5
1998,Fertility_by_Age,20-24,20,5
1998,Fertility_by_Age,25-29,25,5
1998,Fertility_by_Age,30-34,30,5
1998,Fertility_by_Age,35-39,35,5
1998,Fertility_by_Age,40-44,40,5
1998,Fertility_by_Age,45-49,45,5
1998,PopulationByAgeSex_5x5_Medium,0-4,0,5
1998,PopulationByAgeSex_5x5_Medium,5-9,5,5
1998,PopulationByAgeSex_5x5_Medium,10-14,10,5
1998,PopulationByAgeSex_5x5_Medium,15-19,15,5
1998,PopulationByAgeSex_5x5_Medium,20-24,20,5
1998,PopulationByAgeSex_5x5_Medium,25-29,25,5
1998,PopulationByAgeSex_5x5_Medium,30-34,30,5
1998,PopulationByAgeSex_5x5_Medium,35-39,35,5
1998,PopulationByAgeSex_5x5_Medium,40-44,40,5
1998,PopulationByAgeSex_5x5_Medium,45-49,45,5
1998,PopulationByAgeSex_5x5_Medium,50-54,50,5
1998,PopulationByAgeSex_5x5_Medium,55-59,55,5
1998,PopulationByAgeSex_5x5_Medium,60-64,60,5
1998,PopulationByAgeSex_5x5_Medium,65-69,65,5
1998,PopulationByAgeSex_5x5_Medium,70-74,70,5
1998,PopulationByAgeSex_5x5_Medium,75-79,75,5
1998,PopulationByAgeSex_5x5_Medium,80-84,80,5
1998,PopulationByAgeSex_5x5_Medium,85-89,85,5
1998,PopulationByAgeSex_5x5_Medium,90-94,90,5
1998,PopulationByAgeSex_5x5_Medium,95-99,95,5
1998,PopulationByAgeSex_5x5_Medium,100+,100,-1
1998,PopulationByAgeSex_Medium,0-4,0,5
1998,PopulationByAgeSex_Medium,5-9,5,5
1998,PopulationByAgeSex_Medium,10-14,10,5
1998,PopulationByAgeSex_Medium,15-19,15,5
1998,PopulationByAgeSex_Medium,20-24,20,5
1998,PopulationByAgeSex_Medium,25-29,25,5
1998,PopulationByAgeSex_Medium,30-34,30,5
1998,PopulationByAgeSex_Medium,35-39,35,5
1998,PopulationByAgeSex_Medium,40-44,40,5
1998,PopulationByAgeSex_Medium,45-49,45,5
1998,PopulationByAgeSex_Medium,50-54,50,5
1998,PopulationByAgeSex_Medium,55-59,55,5
1998,PopulationByAgeSex_Medium,60-64,60,5
1998,PopulationByAgeSex_Medium,65-69,65,5
1998,PopulationByAgeSex_Medium,70-74,70,5
1998,PopulationByAgeSex_Medium,75-79,75,5
1998,PopulationByAgeSex_Medium,80-84,80,5
1998,PopulationByAgeSex_Medium,85-89,85,5
1998,PopulationByAgeSex_Medium,90-94,90,5
1998,PopulationByAgeSex_Medium,95-99,95,5
1998,PopulationByAgeSex_Medium,100+,100,-1
1998,PopulationByAgeSex_OtherVariants,0-4,0,5
1998,PopulationByAgeSex_OtherVariants,5-9,5,5
1998,PopulationByAgeSex_OtherVariants,10-14,10,5
1998,PopulationByAgeSex_OtherVariants,15-19,15,5
1998,PopulationByAgeSex_OtherVariants,20-24,20,5
1998,PopulationByAgeSex_OtherVariants,25-29,25,5
1998,PopulationByAgeSex_OtherVariants,30-34,30,5
1998,PopulationByAgeSex_OtherVariants,35-39,35,5
1998,PopulationByAgeSex_OtherVariants,40-44,40,5
1998,PopulationByAgeSex_OtherVariants,45-49,45,5
1998,PopulationByAgeSex_OtherVariants,50-54,50,5
1998,PopulationByAgeSex_OtherVariants,55-59,55,5
1998,PopulationByAgeSex_OtherVariants,60-64,60,5
1998,PopulationByAgeSex_OtherVariants,65-69,65,5
1998,PopulationByAgeSex_OtherVariants,70-74,70,5
1998,PopulationByAgeSex_OtherVariants,75-79,75,5
1998,PopulationByAgeSex_OtherVariants,80-84,80,5
1998,PopulationByAgeSex_OtherVariants,85-89,85,5
1998,PopulationByAgeSex_OtherVariants,90-94,90,5
1998,PopulationByAgeSex_OtherVariants,95-99,95,5
1998,PopulationByAgeSex_OtherVariants,100+,100,-1
2000,Fertility_by_Age,15-19,15,5
2000,Fertility_by_Age,20-24,20,5
2000,Fertility_by_Age,25-29,25,5
