"LocID","Time"
4,"1950-1955"
4,"1955-1960"
4,"1960-1965"
4,"1965-1970"
4,"1970-1975"
4,"1975-1980"
4,"1980-1985"
4,"1985-1990"
4,"1990-1995"
4,"1995-2000"
4,"2000-2005"
4,"2005-2010"
4,"2010-2015"
4,"2015-2020"
4,"2020-2025"
4,"2025-2030"
4,"2030-2035"
4,"2035-2040"
4,"2040-2045"
4,"2045-2050"
4,"2050-2055"
4,"2055-2060"
4,"2060-2065"
4,"2065-2070"
4,"2070-2075"
4,"2075-2080"
4,"2080-2085"
4,"2085-2090"
4,"2090-2095"
4,"2095-2100"
903,"1950-1955"
903,"1955-1960"
903,"1960-1965"
903,"1965-1970"
903,"1970-1975"
903,"1975-1980"
903,"1980-1985"
903,"1985-1990"
903,"1990-1995"
903,"1995-2000"
903,"2000-2005"
903,"2005-2010"
903,"2010-2015"
903,"2015-2020"
903,"2020-2025"
903,"2025-2030"
903,"2030-2035"
903,"2035-2040"
903,"2040-2045"
903,"2045-2050"
903,"2050-2055"
903,"2055-2060"
903,"2060-2065"
903,"2065-2070"
903,"2070-2075"
903,"2075-2080"
903,"2080-2085"
903,"2085-2090"
903,"2090-2095"
903,"2095-2100"
1560,"1950-1955"
1560,"1955-1960"
1560,"1960-1965"
1560,"1965-1970"
1560,"1970-1975"
1560,"1975-1980"
1560,"1980-1985"
1560,"1985-1990"
1560,"1990-1995"
1560,"1995-2000"
1560,"2000-2005"
1560,"2005-2010"
1560,"2010-2015"
1560,"2015-2020"
1560,"2020-2025"
1560,"2025-2030"
1560,"2030-2035"
1560,"2035-2040"
1560,"2040-2045"
1560,"2045-2050"
1560,"2050-2055"
1560,"2055-2060"
1560,"2060-2065"
1560,"2065-2070"
1560,"2070-2075"
1560,"2075-2080"
1560,"2080-2085"
1560,"2085-2090"
1560,"2090-2095"
1560,"2095-2100"
8,"1950-1955"
8,"1955-1960"
8,"1960-1965"
8,"1965-1970"
8,"1970-1975"
8,"1975-1980"
8,"1980-1985"
8,"1985-1990"
8,"1990-1995"
8,"1995-2000"
8,"2000-2005"
8,"2005-2010"
8,"2010-2015"
8,"2015-2020"
8,"2020-2025"
8,"2025-2030"
8,"2030-2035"
8,"2035-2040"
8,"2040-2045"
8,"2045-2050"
8,"2050-2055"
8,"2055-2060"
8,"2060-2065"
8,"2065-2070"
8,"2070-2075"
8,"2075-2080"
8,"2080-2085"
8,"2085-2090"
8,"2090-2095"
8,"2095-2100"
12,"1950-1955"
12,"1955-1960"
12,"1960-1965"
12,"1965-1970"
12,"1970-1975"
12,"1975-1980"
12,"1980-1985"
12,"1985-1990"
12,"1990-1995"
12,"1995-2000"
12,"2000-2005"
12,"2005-2010"
12,"2010-2015"
12,"2015-2020"
12,"2020-2025"
12,"2025-2030"
12,"2030-2035"
12,"2035-2040"
12,"2040-2045"
12,"2045-2050"
12,"2050-2055"
12,"2055-2060"
12,"2060-2065"
12,"2065-2070"
12,"2070-2075"
12,"2075-2080"
12,"2080-2085"
12,"2085-2090"
12,"2090-2095"
12,"2095-2100"
16,"1950-1955"
16,"1955-1960"
16,"1960-1965"
16,"1965-1970"
16,"1970-1975"
16,"1975-1980"
16,"1980-1985"
16,"1985-1990"
16,"1990-1995"
16,"1995-2000"
16,"2000-2005"
16,"2005-2010"
16,"2010-2015"
16,"2015-2020"
16,"2020-2025"
16,"2025-2030"
16,"2030-2035"
16,"2035-2040"
16,"2040-2045"
16,"2045-2050"
16,"2050-2055"
16,"2055-2060"
16,"2060-2065"
16,"2065-2070"
16,"2070-2075"
16,"2075-2080"
16,"2080-2085"
16,"2085-2090"
16,"2090-2095"
16,"2095-2100"
1533,"1950-1955"
1533,"1955-1960"
1533,"1960-1965"
1533,"1965-1970"
1533,"1970-1975"
1533,"1975-1980"
1533,"1980-1985"
1533,"1985-1990"
1533,"1990-1995"
1533,"1995-2000"
1533,"2000-2005"
1533,"2005-2010"
1533,"2010-2015"
1533,"2015-2020"
1533,"2020-2025"
1533,"2025-2030"
1533,"2030-2035"
1533,"2035-2040"
1533,"2040-2045"
1533,"2045-2050"
1533,"2050-2055"
1533,"2055-2060"
1533,"2060-2065"
1533,"2065-2070"
1533,"2070-2075"
1533,"2075-2080"
1533,"2080-2085"
1533,"2085-2090"
1533,"2090-2095"
1533,"2095-2100"
20,"1950-1955"
20,"1955-1960"
20,"1960-1965"
20,"1965-1970"
20,"1970-1975"
20,"1975-1980"
20,"1980-1985"
20,"1985-1990"
20,"1990-1995"
20,"1995-2000"
20,"2000-2005"
20,"2005-2010"
20,"2010-2015"
20,"2015-2020"
20,"2020-2025"
20,"2025-2030"
20,"2030-2035"
20,"2035-2040"
20,"2040-2045"
20,"2045-2050"
20,"2050-2055"
20,"2055-2060"
20,"2060-2065"
20,"2065-2070"
20,"2070-2075"
20,"2075-2080"
20,"2080-2085"
20,"2085-2090"
20,"2090-2095"
20,"2095-2100"
24,"1950-1955"
24,"1955-1960"
24,"1960-1965"
24,"1965-1970"
24,"1970-1975"
24,"1975-1980"
24,"1980-1985"
24,"1985-1990"
24,"1990-1995"
24,"1995-2000"
24,"2000-2005"
24,"2005-2010"
24,"2010-2015"
24,"2015-2020"
24,"2020-2025"
24,"2025-2030"
24,"2030-2035"
24,"2035-2040"
24,"2040-2045"
24,"2045-2050"
24,"2050-2055"
24,"2055-2060"
24,"2060-2065"
24,"2065-2070"
24,"2070-2075"
24,"2075-2080"
24,"2080-2085"
24,"2085-2090"
24,"2090-2095"
24,"2095-2100"
660,"1950-1955"
660,"1955-1960"
660,"1960-1965"
660,"1965-1970"
660,"1970-1975"
660,"1975-1980"
660,"1980-1985"
660,"1985-1990"
660,"1990-1995"
660,"1995-2000"
660,"2000-2005"
660,"2005-2010"
660,"2010-2015"
660,"2015-2020"
660,"2020-2025"
660,"2025-2030"
660,"2030-2035"
660,"2035-2040"
660,"2040-2045"
660,"2045-2050"
660,"2050-2055"
660,"2055-2060"
660,"2060-2065"
660,"2065-2070"
660,"2070-2075"
660,"2075-2080"
660,"2080-2085"
660,"2085-2090"
660,"2090-2095"
660,"2095-2100"
28,"1950-1955"
28,"1955-1960"
28,"1960-1965"
28,"1965-1970"
28,"1970-1975"
28,"1975-1980"
28,"1980-1985"
28,"1985-1990"
28,"1990-1995"
28,"1995-2000"
28,"2000-2005"
28,"2005-2010"
28,"2010-2015"
28,"2015-2020"
28,"2020-2025"
28,"2025-2030"
28,"2030-2035"
28,"2035-2040"
28,"2040-2045"
28,"2045-2050"
28,"2050-2055"
28,"2055-2060"
28,"2060-2065"
28,"2065-2070"
28,"2070-2075"
28,"2075-2080"
28,"2080-2085"
28,"2085-2090"
28,"2090-2095"
28,"2095-2100"
1535,"1950-1955"
1535,"1955-1960"
1535,"1960-1965"
1535,"1965-1970"
1535,"1970-1975"
1535,"1975-1980"
1535,"1980-1985"
1535,"1985-1990"
1535,"1990-1995"
1535,"1995-2000"
1535,"2000-2005"
1535,"2005-2010"
1535,"2010-2015"
1535,"2015-2020"
1535,"2020-2025"
1535,"2025-2030"
1535,"2030-2035"
1535,"2035-2040"
1535,"2040-2045"
1535,"2045-2050"
1535,"2050-2055"
1535,"2055-2060"
1535,"2060-2065"
1535,"2065-2070"
1535,"2070-2075"
1535,"2075-2080"
1535,"2080-2085"
1535,"2085-2090"
1535,"2090-2095"
1535,"2095-2100"
1528,"1950-1955"
1528,"1955-1960"
1528,"1960-1965"
1528,"1965-1970"
1528,"1970-1975"
1528,"1975-1980"
1528,"1980-1985"
1528,"1985-1990"
1528,"1990-1995"
1528,"1995-2000"
1528,"2000-2005"
1528,"2005-2010"
1528,"2010-2015"
1528,"2015-2020"
1528,"2020-2025"
1528,"2025-2030"
1528,"2030-2035"
1528,"2035-2040"
1528,"2040-2045"
1528,"2045-2050"
1528,"2050-2055"
1528,"2055-2060"
1528,"2060-2065"
1528,"2065-2070"
1528,"2070-2075"
1528,"2075-2080"
1528,"2080-2085"
1528,"2085-2090"
1528,"2090-2095"
1528,"2095-2100"
1558,"1950-1955"
1558,"1955-1960"
1558,"1960-1965"
1558,"1965-1970"
1558,"1970-1975"
1558,"1975-1980"
1558,"1980-1985"
1558,"1985-1990"
1558,"1990-1995"
1558,"1995-2000"
1558,"2000-2005"
1558,"2005-2010"
1558,"2010-2015"
1558,"2015-2020"
1558,"2020-2025"
1558,"2025-2030"
1558,"2030-2035"
1558,"2035-2040"
1558,"2040-2045"
1558,"2045-2050"
