"LocID","Time","AgeGrp","SexID"
4,"1950-1955","0",1
4,"1950-1955","0",2
4,"1950-1955","0",3
4,"1950-1955","1-4",1
4,"1950-1955","1-4",2
4,"1950-1955","1-4",3
4,"1950-1955","5-9",1
4,"1950-1955","5-9",2
4,"1950-1955","5-9",3
4,"1950-1955","10-14",1
4,"1950-1955","10-14",2
4,"1950-1955","10-14",3
4,"1950-1955","15-19",1
4,"1950-1955","15-19",2
4,"1950-1955","15-19",3
4,"1950-1955","20-24",1
4,"1950-1955","20-24",2
4,"1950-1955","20-24",3
4,"1950-1955","25-29",1
4,"1950-1955","25-29",2
4,"1950-1955","25-29",3
4,"1950-1955","30-34",1
4,"1950-1955","30-34",2
4,"1950-1955","30-34",3
4,"1950-1955","35-39",1
4,"1950-1955","35-39",2
4,"1950-1955","35-39",3
4,"1950-1955","40-44",1
4,"1950-1955","40-44",2
4,"1950-1955","40-44",3
4,"1950-1955","45-49",1
4,"1950-1955","45-49",2
4,"1950-1955","45-49",3
4,"1950-1955","50-54",1
4,"1950-1955","50-54",2
4,"1950-1955","50-54",3
4,"1950-1955","55-59",1
4,"1950-1955","55-59",2
4,"1950-1955","55-59",3
4,"1950-1955","60-64",1
4,"1950-1955","60-64",2
4,"1950-1955","60-64",3
4,"1950-1955","65-69",1
4,"1950-1955","65-69",2
4,"1950-1955","65-69",3
4,"1950-1955","70-74",1
4,"1950-1955","70-74",2
4,"1950-1955","70-74",3
4,"1950-1955","75-79",1
4,"1950-1955","75-79",2
4,"1950-1955","75-79",3
4,"1950-1955","80-84",1
4,"1950-1955","80-84",2
4,"1950-1955","80-84",3
4,"1950-1955","85-89",1
4,"1950-1955","85-89",2
4,"1950-1955","85-89",3
4,"1950-1955","90-94",1
4,"1950-1955","90-94",2
4,"1950-1955","90-94",3
4,"1950-1955","95-99",1
4,"1950-1955","95-99",2
4,"1950-1955","95-99",3
4,"1950-1955","100+",1
4,"1950-1955","100+",2
4,"1950-1955","100+",3
4,"1955-1960","0",1
4,"1955-1960","0",2
4,"1955-1960","0",3
4,"1955-1960","1-4",1
4,"1955-1960","1-4",2
4,"1955-1960","1-4",3
4,"1955-1960","5-9",1
4,"1955-1960","5-9",2
4,"1955-1960","5-9",3
4,"1955-1960","10-14",1
4,"1955-1960","10-14",2
4,"1955-1960","10-14",3
4,"1955-1960","15-19",1
4,"1955-1960","15-19",2
4,"1955-1960","15-19",3
4,"1955-1960","20-24",1
4,"1955-1960","20-24",2
4,"1955-1960","20-24",3
4,"1955-1960","25-29",1
4,"1955-1960","25-29",2
4,"1955-1960","25-29",3
4,"1955-1960","30-34",1
4,"1955-1960","30-34",2
4,"1955-1960","30-34",3
4,"1955-1960","35-39",1
4,"1955-1960","35-39",2
4,"1955-1960","35-39",3
4,"1955-1960","40-44",1
4,"1955-1960","40-44",2
4,"1955-1960","40-44",3
4,"1955-1960","45-49",1
4,"1955-1960","45-49",2
4,"1955-1960","45-49",3
4,"1955-1960","50-54",1
4,"1955-1960","50-54",2
4,"1955-1960","50-54",3
4,"1955-1960","55-59",1
4,"1955-1960","55-59",2
4,"1955-1960","55-59",3
4,"1955-1960","60-64",1
4,"1955-1960","60-64",2
4,"1955-1960","60-64",3
4,"1955-1960","65-69",1
4,"1955-1960","65-69",2
4,"1955-1960","65-69",3
4,"1955-1960","70-74",1
4,"1955-1960","70-74",2
4,"1955-1960","70-74",3
4,"1955-1960","75-79",1
4,"1955-1960","75-79",2
4,"1955-1960","75-79",3
4,"1955-1960","80-84",1
4,"1955-1960","80-84",2
4,"1955-1960","80-84",3
4,"1955-1960","85-89",1
4,"1955-1960","85-89",2
4,"1955-1960","85-89",3
4,"1955-1960","90-94",1
4,"1955-1960","90-94",2
4,"1955-1960","90-94",3
4,"1955-1960","95-99",1
4,"1955-1960","95-99",2
4,"1955-1960","95-99",3
4,"1955-1960","100+",1
4,"1955-1960","100+",2
4,"1955-1960","100+",3
4,"1960-1965","0",1
4,"1960-1965","0",2
4,"1960-1965","0",3
4,"1960-1965","1-4",1
4,"1960-1965","1-4",2
4,"1960-1965","1-4",3
4,"1960-1965","5-9",1
4,"1960-1965","5-9",2
4,"1960-1965","5-9",3
4,"1960-1965","10-14",1
4,"1960-1965","10-14",2
4,"1960-1965","10-14",3
4,"1960-1965","15-19",1
4,"1960-1965","15-19",2
4,"1960-1965","15-19",3
4,"1960-1965","20-24",1
4,"1960-1965","20-24",2
4,"1960-1965","20-24",3
4,"1960-1965","25-29",1
4,"1960-1965","25-29",2
4,"1960-1965","25-29",3
4,"1960-1965","30-34",1
4,"1960-1965","30-34",2
4,"1960-1965","30-34",3
4,"1960-1965","35-39",1
4,"1960-1965","35-39",2
4,"1960-1965","35-39",3
4,"1960-1965","40-44",1
4,"1960-1965","40-44",2
4,"1960-1965","40-44",3
4,"1960-1965","45-49",1
4,"1960-1965","45-49",2
4,"1960-1965","45-49",3
4,"1960-1965","50-54",1
4,"1960-1965","50-54",2
4,"1960-1965","50-54",3
4,"1960-1965","55-59",1
4,"1960-1965","55-59",2
4,"1960-1965","55-59",3
4,"1960-1965","60-64",1
4,"1960-1965","60-64",2
4,"1960-1965","60-64",3
4,"1960-1965","65-69",1
4,"1960-1965","65-69",2
4,"1960-1965","65-69",3
4,"1960-1965","70-74",1
4,"1960-1965","70-74",2
4,"1960-1965","70-74",3
4,"1960-1965","75-79",1
4,"1960-1965","75-79",2
4,"1960-1965","75-79",3
4,"1960-1965","80-84",1
4,"1960-1965","80-84",2
4,"1960-1965","80-84",3
4,"1960-1965","85-89",1
4,"1960-1965","85-89",2
4,"1960-1965","85-89",3
4,"1960-1965","90-94",1
4,"1960-1965","90-94",2
4,"1960-1965","90-94",3
4,"1960-1965","95-99",1
4,"1960-1965","95-99",2
4,"1960-1965","95-99",3
4,"1960-1965","100+",1
4,"1960-1965","100+",2
4,"1960-1965","100+",3
4,"1965-1970","0",1
4,"1965-1970","0",2
4,"1965-1970","0",3
4,"1965-1970","1-4",1
4,"1965-1970","1-4",2
4,"1965-1970","1-4",3
4,"1965-1970","5-9",1
4,"1965-1970","5-9",2
4,"1965-1970","5-9",3
4,"1965-1970","10-14",1
4,"1965-1970","10-14",2
4,"1965-1970","10-14",3
4,"1965-1970","15-19",1
4,"1965-1970","15-19",2
4,"1965-1970","15-19",3
4,"1965-1970","20-24",1
4,"1965-1970","20-24",2
4,"1965-1970","20-24",3
4,"1965-1970","25-29",1
4,"1965-1970","25-29",2
4,"1965-1970","25-29",3
4,"1965-1970","30-34",1
4,"1965-1970","30-34",2
4,"1965-1970","30-34",3
4,"1965-1970","35-39",1
4,"1965-1970","35-39",2
4,"1965-1970","35-39",3
4,"1965-1970","40-44",1
4,"1965-1970","40-44",2
4,"1965-1970","40-44",3
4,"1965-1970","45-49",1
4,"1965-1970","45-49",2
4,"1965-1970","45-49",3
4,"1965-1970","50-54",1
4,"1965-1970","50-54",2
4,"1965-1970","50-54",3
4,"1965-1970","55-59",1
4,"1965-1970","55-59",2
4,"1965-1970","55-59",3
4,"1965-1970","60-64",1
4,"1965-1970","60-64",2
4,"1965-1970","60-64",3
4,"1965-1970","65-69",1
4,"1965-1970","65-69",2
4,"1965-1970","65-69",3
4,"1965-1970","70-74",1
4,"1965-1970","70-74",2
4,"1965-1970","70-74",3
4,"1965-1970","75-79",1
4,"1965-1970","75-79",2
4,"1965-1970","75-79",3
4,"1965-1970","80-84",1
4,"1965-1970","80-84",2
4,"1965-1970","80-84",3
4,"1965-1970","85-89",1
4,"1965-1970","85-89",2
4,"1965-1970","85-89",3
4,"1965-1970","90-94",1
4,"1965-1970","90-94",2
4,"1965-1970","90-94",3
4,"1965-1970","95-99",1
4,"1965-1970","95-99",2
4,"1965-1970","95-99",3
4,"1965-1970","100+",1
4,"1965-1970","100+",2
4,"1965-1970","100+",3
4,"1970-1975","0",1
4,"1970-1975","0",2
4,"1970-1975","0",3
4,"1970-1975","1-4",1
4,"1970-1975","1-4",2
4,"1970-1975","1-4",3
4,"1970-1975","5-9",1
4,"1970-1975","5-9",2
4,"1970-1975","5-9",3
4,"1970-1975","10-14",1
4,"1970-1975","10-14",2
4,"1970-1975","10-14",3
4,"1970-1975","15-19",1
4,"1970-1975","15-19",2
4,"1970-1975","15-19",3
4,"1970-1975","20-24",1
4,"1970-1975","20-24",2
4,"1970-1975","20-24",3
4,"1970-1975","25-29",1
4,"1970-1975","25-29",2
4,"1970-1975","25-29",3
4,"1970-1975","30-34",1
4,"1970-1975","30-34",2
4,"1970-1975","30-34",3
4,"1970-1975","35-39",1
4,"1970-1975","35-39",2
4,"1970-1975","35-39",3
4,"1970-1975","40-44",1
4,"1970-1975","40-44",2
4,"1970-1975","40-44",3
4,"1970-1975","45-49",1
4,"1970-1975","45-49",2
4,"1970-1975","45-49",3
4,"1970-1975","50-54",1
4,"1970-1975","50-54",2
4,"1970-1975","50-54",3
4,"1970-1975","55-59",1
4,"1970-1975","55-59",2
4,"1970-1975","55-59",3
4,"1970-1975","60-64",1
4,"1970-1975","60-64",2
4,"1970-1975","60-64",3
4,"1970-1975","65-69",1
4,"1970-1975","65-69",2
4,"1970-1975","65-69",3
4,"1970-1975","70-74",1
4,"1970-1975","70-74",2
4,"1970-1975","70-74",3
4,"1970-1975","75-79",1
4,"1970-1975","75-79",2
