"LocID","Time","AgeGrp"
900,2022,"10-14"
900,2022,"15-19"
900,2022,"20-24"
900,2022,"25-29"
900,2022,"30-34"
900,2022,"35-39"
900,2022,"40-44"
900,2022,"45-49"
900,2022,"50-54"
900,2023,"10-14"
900,2023,"15-19"
900,2023,"20-24"
900,2023,"25-29"
900,2023,"30-34"
900,2023,"35-39"
900,2023,"40-44"
900,2023,"45-49"
900,2023,"50-54"
900,2024,"10-14"
900,2024,"15-19"
900,2024,"20-24"
900,2024,"25-29"
900,2024,"30-34"
900,2024,"35-39"
900,2024,"40-44"
900,2024,"45-49"
900,2024,"50-54"
900,2025,"10-14"
900,2025,"15-19"
900,2025,"20-24"
900,2025,"25-29"
900,2025,"30-34"
900,2025,"35-39"
900,2025,"40-44"
900,2025,"45-49"
900,2025,"50-54"
900,2026,"10-14"
900,2026,"15-19"
900,2026,"20-24"
900,2026,"25-29"
900,2026,"30-34"
900,2026,"35-39"
900,2026,"40-44"
900,2026,"45-49"
900,2026,"50-54"
900,2027,"10-14"
900,2027,"15-19"
900,2027,"20-24"
900,2027,"25-29"
900,2027,"30-34"
900,2027,"35-39"
900,2027,"40-44"
900,2027,"45-49"
900,2027,"50-54"
900,2028,"10-14"
900,2028,"15-19"
900,2028,"20-24"
900,2028,"25-29"
900,2028,"30-34"
900,2028,"35-39"
900,2028,"40-44"
900,2028,"45-49"
900,2028,"50-54"
900,2029,"10-14"
900,2029,"15-19"
900,2029,"20-24"
900,2029,"25-29"
900,2029,"30-34"
900,2029,"35-39"
900,2029,"40-44"
900,2029,"45-49"
900,2029,"50-54"
900,2030,"10-14"
900,2030,"15-19"
900,2030,"20-24"
900,2030,"25-29"
900,2030,"30-34"
900,2030,"35-39"
900,2030,"40-44"
900,2030,"45-49"
900,2030,"50-54"
900,2031,"10-14"
900,2031,"15-19"
900,2031,"20-24"
900,2031,"25-29"
900,2031,"30-34"
900,2031,"35-39"
900,2031,"40-44"
900,2031,"45-49"
900,2031,"50-54"
900,2032,"10-14"
900,2032,"15-19"
900,2032,"20-24"
900,2032,"25-29"
900,2032,"30-34"
900,2032,"35-39"
900,2032,"40-44"
900,2032,"45-49"
900,2032,"50-54"
900,2033,"10-14"
900,2033,"15-19"
900,2033,"20-24"
