wpp,file_group,AgeGrp,AgeGrpStart,AgeGrpSpan
1998,Fertility_by_Age,15-19,15,5
1998,Fertility_by_Age,20-24,20,5
1998,Fertility_by_Age,25-29,25,5
1998,Fertility_by_Age,30-34,30,5
1998,Fertility_by_Age,35-39,35,5
1998,Fertility_by_Age,40-44,40,5
1998,Fertility_by_Age,45-49,45,5
1998,PopulationByAgeSex,0-4,0,5
1998,PopulationByAgeSex,5-9,5,5
1998,PopulationByAgeSex,10-14,10,5
1998,PopulationByAgeSex,15-19,15,5
1998,PopulationByAgeSex,20-24,20,5
1998,PopulationByAgeSex,25-29,25,5
1998,PopulationByAgeSex,30-34,30,5
1998,PopulationByAgeSex,35-39,35,5
1998,PopulationByAgeSex,40-44,40,5
1998,PopulationByAgeSex,45-49,45,5
1998,PopulationByAgeSex,50-54,50,5
1998,PopulationByAgeSex,55-59,55,5
1998,PopulationByAgeSex,60-64,60,5
1998,PopulationByAgeSex,65-69,65,5
1998,PopulationByAgeSex,70-74,70,5
1998,PopulationByAgeSex,75-79,75,5
1998,PopulationByAgeSex,80-84,80,5
1998,PopulationByAgeSex,85-89,85,5
1998,PopulationByAgeSex,90-94,90,5
1998,PopulationByAgeSex,95-99,95,5
1998,PopulationByAgeSex,100+,100,-1
1998,PopulationByAgeSex_5x5,0-4,0,5
1998,PopulationByAgeSex_5x5,5-9,5,5
1998,PopulationByAgeSex_5x5,10-14,10,5
1998,PopulationByAgeSex_5x5,15-19,15,5
1998,PopulationByAgeSex_5x5,20-24,20,5
1998,PopulationByAgeSex_5x5,25-29,25,5
1998,PopulationByAgeSex_5x5,30-34,30,5
1998,PopulationByAgeSex_5x5,35-39,35,5
1998,PopulationByAgeSex_5x5,40-44,40,5
1998,PopulationByAgeSex_5x5,45-49,45,5
1998,PopulationByAgeSex_5x5,50-54,50,5
1998,PopulationByAgeSex_5x5,55-59,55,5
1998,PopulationByAgeSex_5x5,60-64,60,5
1998,PopulationByAgeSex_5x5,65-69,65,5
1998,PopulationByAgeSex_5x5,70-74,70,5
1998,PopulationByAgeSex_5x5,75-79,75,5
1998,PopulationByAgeSex_5x5,80-84,80,5
1998,PopulationByAgeSex_5x5,85-89,85,5
1998,PopulationByAgeSex_5x5,90-94,90,5
1998,PopulationByAgeSex_5x5,95-99,95,5
1998,PopulationByAgeSex_5x5,100+,100,-1
2000,Fertility_by_Age,15-19,15,5
2000,Fertility_by_Age,20-24,20,5
2000,Fertility_by_Age,25-29,25,5
2000,Fertility_by_Age,30-34,30,5
2000,Fertility_by_Age,35-39,35,5
2000,Fertility_by_Age,40-44,40,5
2000,Fertility_by_Age,45-49,45,5
2000,PopulationByAgeSex,0-4,0,5
2000,PopulationByAgeSex,5-9,5,5
2000,PopulationByAgeSex,10-14,10,5
2000,PopulationByAgeSex,15-19,15,5
2000,PopulationByAgeSex,20-24,20,5
2000,PopulationByAgeSex,25-29,25,5
2000,PopulationByAgeSex,30-34,30,5
2000,PopulationByAgeSex,35-39,35,5
2000,PopulationByAgeSex,40-44,40,5
2000,PopulationByAgeSex,45-49,45,5
2000,PopulationByAgeSex,50-54,50,5
2000,PopulationByAgeSex,55-59,55,5
2000,PopulationByAgeSex,60-64,60,5
2000,PopulationByAgeSex,65-69,65,5
2000,PopulationByAgeSex,70-74,70,5
2000,PopulationByAgeSex,75-79,75,5
2000,PopulationByAgeSex,80-84,80,5
2000,PopulationByAgeSex,85-89,85,5
2000,PopulationByAgeSex,90-94,90,5
2000,PopulationByAgeSex,95-99,95,5
2000,PopulationByAgeSex,100+,100,-1
2000,PopulationByAgeSex_5x5,0-4,0,5
2000,PopulationByAgeSex_5x5,5-9,5,5
2000,PopulationByAgeSex_5x5,10-14,10,5
2000,PopulationByAgeSex_5x5,15-19,15,5
2000,PopulationByAgeSex_5x5,20-24,20,5
2000,PopulationByAgeSex_5x5,25-29,25,5
2000,PopulationByAgeSex_5x5,30-34,30,5
2000,PopulationByAgeSex_5x5,35-39,35,5
2000,PopulationByAgeSex_5x5,40-44,40,5
