wpp,file_group,VarID,Variant,n_row,n_col,n_original_files
1998,Fertility_by_Age,2,Medium,17892,10,1
1998,Fertility_by_Age,3,High,16401,10,1
1998,Fertility_by_Age,4,Low,16401,10,1
1998,Fertility_by_Age,5,Constant fertility,16401,10,1
1998,Period_Indicators,2,Medium,5160,23,1
1998,Period_Indicators,3,High,2343,23,1
1998,Period_Indicators,4,Low,2343,23,1
1998,Period_Indicators,5,Constant fertility,2343,23,1
1998,PopulationByAgeSex,2,Medium,447300,10,1
1998,PopulationByAgeSex,3,High,49203,10,1
1998,PopulationByAgeSex,4,Low,49203,10,1
1998,PopulationByAgeSex,5,Constant fertility,49203,10,1
1998,PopulationByAgeSex,6,Instant replacement,4473,10,1
1998,PopulationByAgeSex,7,Zero migration,4473,10,1
1998,PopulationByAgeSex,8,Constant mortality,4473,10,1
1998,PopulationByAgeSex,9,No change,4473,10,1
1998,PopulationByAgeSex_5x5,2,Medium,89460,10,1
1998,TotalPopulationBySex,2,Medium,25700,5,1
1998,TotalPopulationBySex,3,High,14135,5,1
1998,TotalPopulationBySex,4,Low,14135,5,1
1998,TotalPopulationBySex,5,Constant fertility,14135,5,1
1998,TotalPopulationBySex,6,Instant replacement,257,5,1
1998,TotalPopulationBySex,7,Zero migration,257,5,1
1998,TotalPopulationBySex,8,Constant mortality,257,5,1
1998,TotalPopulationBySex,9,No change,257,5,1
2000,Fertility_by_Age,2,Medium,18228,10,1
2000,Fertility_by_Age,3,High,15190,10,1
2000,Fertility_by_Age,4,Low,15190,10,1
2000,Fertility_by_Age,5,Constant fertility,15190,10,1
2000,Fertility_by_Age,6,Instant replacement,15190,10,1
2000,Fertility_by_Age,7,Zero migration,15190,10,1
2000,Fertility_by_Age,8,Constant mortality,15190,10,1
2000,Fertility_by_Age,9,No change,15190,10,1
2000,Period_Indicators,2,Medium,5160,23,1
2000,Period_Indicators,3,High,2580,23,1
2000,Period_Indicators,4,Low,2580,23,1
2000,Period_Indicators,5,Constant fertility,2580,23,1
2000,Period_Indicators,6,Instant replacement,2211,23,1
2000,Period_Indicators,7,Zero migration,2211,23,1
2000,Period_Indicators,8,Constant mortality,2211,23,1
2000,Period_Indicators,9,No change,2211,23,1
2000,PopulationByAgeSex,2,Medium,455700,10,1
2000,PopulationByAgeSex,3,High,45570,10,1
2000,PopulationByAgeSex,4,Low,45570,10,1
2000,PopulationByAgeSex,5,Constant fertility,45570,10,1
2000,PopulationByAgeSex,6,Instant replacement,45570,10,1
2000,PopulationByAgeSex,7,Zero migration,45570,10,1
2000,PopulationByAgeSex,8,Constant mortality,45570,10,1
