wpp,file_group,AgeGrp,AgeGrpStart,AgeGrpSpan
2022,Fertility_by_Age1,15,15,1
2022,Fertility_by_Age1,16,16,1
2022,Fertility_by_Age1,17,17,1
2022,Fertility_by_Age1,18,18,1
2022,Fertility_by_Age1,19,19,1
2022,Fertility_by_Age1,20,20,1
2022,Fertility_by_Age1,21,21,1
2022,Fertility_by_Age1,22,22,1
2022,Fertility_by_Age1,23,23,1
2022,Fertility_by_Age1,24,24,1
2022,Fertility_by_Age1,25,25,1
2022,Fertility_by_Age1,26,26,1
2022,Fertility_by_Age1,27,27,1
2022,Fertility_by_Age1,28,28,1
2022,Fertility_by_Age1,29,29,1
2022,Fertility_by_Age1,30,30,1
2022,Fertility_by_Age1,31,31,1
2022,Fertility_by_Age1,32,32,1
2022,Fertility_by_Age1,33,33,1
2022,Fertility_by_Age1,34,34,1
2022,Fertility_by_Age1,35,35,1
2022,Fertility_by_Age1,36,36,1
2022,Fertility_by_Age1,37,37,1
2022,Fertility_by_Age1,38,38,1
2022,Fertility_by_Age1,39,39,1
2022,Fertility_by_Age1,40,40,1
2022,Fertility_by_Age1,41,41,1
2022,Fertility_by_Age1,42,42,1
2022,Fertility_by_Age1,43,43,1
2022,Fertility_by_Age1,44,44,1
2022,Fertility_by_Age1,45,45,1
2022,Fertility_by_Age1,46,46,1
2022,Fertility_by_Age1,47,47,1
2022,Fertility_by_Age1,48,48,1
2022,Fertility_by_Age1,49,49,1
2022,Fertility_by_Age5,10-14,10,5
2022,Fertility_by_Age5,15-19,15,5
2022,Fertility_by_Age5,20-24,20,5
2022,Fertility_by_Age5,25-29,25,5
2022,Fertility_by_Age5,30-34,30,5
2022,Fertility_by_Age5,35-39,35,5
2022,Fertility_by_Age5,40-44,40,5
2022,Fertility_by_Age5,45-49,45,5
2022,Fertility_by_Age5,50-54,50,5
2022,Life_Table_Abridged,0,0,1
2022,Life_Table_Abridged,1-4,1,4
2022,Life_Table_Abridged,5-9,5,5
2022,Life_Table_Abridged,10-14,10,5
